
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 147, Time: 0.779297, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      20053

Sync-Point 148, Time: 0.780762, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        242

Sync-Point 149, Time: 0.782227, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      13789

Sync-Point 150, Time: 0.783691, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        344

Sync-Point 151, Time: 0.785156, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 152, Time: 0.786621, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        456

Sync-Point 153, Time: 0.788086, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      14444

Sync-Point 154, Time: 0.789551, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        639

Sync-Point 155, Time: 0.791016, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      21197

Sync-Point 156, Time: 0.79248, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:        842

Sync-Point 157, Time: 0.793945, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      15029

Sync-Point 158, Time: 0.79541, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       1038

Sync-Point 159, Time: 0.796875, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 160, Time: 0.79834, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       1194

Sync-Point 161, Time: 0.799805, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      15696

Sync-Point 162, Time: 0.80127, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       1402

Sync-Point 163, Time: 0.802734, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      22404

Sync-Point 164, Time: 0.804199, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       1611

Sync-Point 165, Time: 0.805664, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      16383

Sync-Point 166, Time: 0.807129, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       1852

Sync-Point 167, Time: 0.808594, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 168, Time: 0.810059, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       2051

Sync-Point 169, Time: 0.811523, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      17011

Sync-Point 170, Time: 0.812988, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       2294

Sync-Point 171, Time: 0.814453, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      23617

Sync-Point 172, Time: 0.815918, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       2557

Sync-Point 173, Time: 0.817383, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      17735

Sync-Point 174, Time: 0.818848, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       2768

Sync-Point 175, Time: 0.820312, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 176, Time: 0.821777, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       2966

Sync-Point 177, Time: 0.823242, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      18431

Sync-Point 178, Time: 0.824707, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:       3265

Sync-Point 179, Time: 0.826172, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      24901

